checking_account_status,duration,credit_history,purpose,credit_amount,savings,present_employment,installment_rate,personal,other_debtors,present_residence,property,age,other_installment_plans,housing,existing_credits,job,dependents,telephone,foreign_worker,customer_type
No Checking Account,18,Existing Credits Paid Back,Radio/TV,433,<100,unemployed,3,Female (Div/Sep/Married),co-applicant,4,Real Estate,22,none,Rent,1,SkilledEmployee/Official,1,None,Yes,Bad
< 0 DM,6,Critical Account/Other Credit Existing(Not this bank),New Car,666,>=1000,4 to 7,3,Female (Div/Sep/Married),none,4,Real Estate,39,none,Own,2,Unskilled Resident,1,Yes,Yes,Good
>= 200 DM,12,Existing Credits Paid Back,Furniture/Equipment,2251,<100,1 to 4,1,Female (Div/Sep/Married),none,2,car or other,46,none,Own,1,Unskilled Resident,1,None,Yes,Good
0 - 20 DM,30,Existing Credits Paid Back,New Car,2150,<100,1 to 4,4,Female (Div/Sep/Married),guarantor,2,Unknown/ No property,24,Bank,Own,1,SkilledEmployee/Official,1,None,Yes,Bad
No Checking Account,24,Delay in Payment in past,Furniture/Equipment,4151,100 - 500,1 to 4,2,Male (Single),none,3,Society Saving/ Life Insurance,35,none,Own,2,SkilledEmployee/Official,1,None,Yes,Good
0 - 20 DM,9,Existing Credits Paid Back,Furniture/Equipment,2030,Unknown/ No Saving Ac,4 to 7,2,Male (Single),none,1,car or other,24,none,Own,1,SkilledEmployee/Official,1,Yes,Yes,Good
0 - 20 DM,60,Delay in Payment in past,Radio/TV,7418,Unknown/ No Saving Ac,1 to 4,1,Male (Single),none,1,Real Estate,27,none,Own,1,Unskilled Resident,1,None,Yes,Good
No Checking Account,24,Critical Account/Other Credit Existing(Not this bank),Radio/TV,2684,<100,1 to 4,4,Male (Single),none,2,Real Estate,35,none,Own,2,Unskilled Resident,1,None,Yes,Good
< 0 DM,12,All Credits Paid (this bank),Radio/TV,2149,<100,1 to 4,4,Male (Div/Sep/Married),none,1,Unknown/ No property,29,none,For Free,1,SkilledEmployee/Official,1,None,Yes,Bad
No Checking Account,15,Existing Credits Paid Back,Used Car,3812,100 - 500,<1,1,Female (Div/Sep/Married),none,4,car or other,23,none,Own,1,SkilledEmployee/Official,1,Yes,Yes,Good
No Checking Account,11,Critical Account/Other Credit Existing(Not this bank),Radio/TV,1154,100 - 500,unemployed,4,Female (Div/Sep/Married),none,4,Real Estate,57,none,Own,3,Unskilled Resident,1,None,Yes,Good
< 0 DM,12,Existing Credits Paid Back,Furniture/Equipment,1657,<100,1 to 4,2,Male (Single),none,2,Real Estate,27,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
< 0 DM,24,Existing Credits Paid Back,Radio/TV,1603,<100,>=7,4,Female (Div/Sep/Married),none,4,car or other,55,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
< 0 DM,18,Critical Account/Other Credit Existing(Not this bank),New Car,5302,<100,>=7,2,Male (Single),none,4,Unknown/ No property,36,none,For Free,3,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,Yes,Good
No Checking Account,12,Critical Account/Other Credit Existing(Not this bank),Education,2748,<100,>=7,2,Female (Div/Sep/Married),none,4,Unknown/ No property,57,Bank,For Free,3,Unskilled Resident,1,None,Yes,Good
No Checking Account,10,Critical Account/Other Credit Existing(Not this bank),New Car,1231,<100,>=7,3,Male (Single),none,4,Real Estate,32,none,Own,2,Unskilled Resident,2,None,No,Good
0 - 20 DM,15,Existing Credits Paid Back,Radio/TV,802,<100,>=7,4,Male (Single),none,3,car or other,37,none,Own,1,SkilledEmployee/Official,2,None,Yes,Bad
No Checking Account,36,Critical Account/Other Credit Existing(Not this bank),Business,6304,Unknown/ No Saving Ac,>=7,4,Male (Single),none,4,Real Estate,36,none,Own,2,SkilledEmployee/Official,1,None,Yes,Good
No Checking Account,24,Existing Credits Paid Back,Radio/TV,1533,<100,<1,4,Female (Div/Sep/Married),none,3,car or other,38,Stores,Own,1,SkilledEmployee/Official,1,Yes,Yes,Good
< 0 DM,14,Existing Credits Paid Back,New Car,8978,<100,>=7,1,Male (Div/Sep/Married),none,4,Society Saving/ Life Insurance,45,none,Own,1,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,No,Bad
No Checking Account,24,Existing Credits Paid Back,Radio/TV,999,Unknown/ No Saving Ac,>=7,4,Male (Single),none,2,car or other,25,none,Own,2,SkilledEmployee/Official,1,None,Yes,Good
No Checking Account,18,Existing Credits Paid Back,New Car,2662,Unknown/ No Saving Ac,4 to 7,4,Male (Single),none,3,Society Saving/ Life Insurance,32,none,Own,1,SkilledEmployee/Official,1,None,No,Good
No Checking Account,12,Critical Account/Other Credit Existing(Not this bank),Furniture/Equipment,1402,500 - 1000,4 to 7,3,Female (Div/Sep/Married),none,4,car or other,37,none,Rent,1,SkilledEmployee/Official,1,Yes,Yes,Good
0 - 20 DM,48,All Credits Paid (this bank),New Car,12169,Unknown/ No Saving Ac,unemployed,4,Male (Single),co-applicant,4,Unknown/ No property,36,none,For Free,1,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,Yes,Good
0 - 20 DM,48,Existing Credits Paid Back,Radio/TV,3060,<100,4 to 7,4,Male (Single),none,4,Real Estate,28,none,Own,2,SkilledEmployee/Official,1,None,Yes,Bad
< 0 DM,30,Existing Credits Paid Back,Repairs,11998,<100,<1,1,Male (Div/Sep/Married),none,1,Unknown/ No property,34,none,Own,1,Unskilled Resident,1,Yes,Yes,Bad
No Checking Account,9,Existing Credits Paid Back,Radio/TV,2697,<100,1 to 4,1,Male (Single),none,2,Real Estate,32,none,Own,1,SkilledEmployee/Official,2,None,Yes,Good
No Checking Account,18,Critical Account/Other Credit Existing(Not this bank),Radio/TV,2404,<100,1 to 4,2,Female (Div/Sep/Married),none,2,car or other,26,none,Own,2,SkilledEmployee/Official,1,None,Yes,Good
< 0 DM,12,Existing Credits Paid Back,Furniture/Equipment,1262,Unknown/ No Saving Ac,>=7,2,Male (Div/Sep/Married),none,4,Society Saving/ Life Insurance,49,none,Own,1,Unskilled Resident,1,Yes,Yes,Good
No Checking Account,6,Existing Credits Paid Back,Furniture/Equipment,4611,<100,<1,1,Female (Div/Sep/Married),none,4,Society Saving/ Life Insurance,32,none,Own,1,SkilledEmployee/Official,1,None,Yes,Bad
No Checking Account,24,Existing Credits Paid Back,Radio/TV,1901,100 - 500,1 to 4,4,Male (Single),none,4,car or other,29,none,Rent,1,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,Yes,Good
No Checking Account,15,Critical Account/Other Credit Existing(Not this bank),Used Car,3368,>=1000,>=7,3,Male (Single),none,4,Unknown/ No property,23,none,Rent,2,SkilledEmployee/Official,1,Yes,Yes,Good
No Checking Account,12,Existing Credits Paid Back,Furniture/Equipment,1574,<100,1 to 4,4,Male (Single),none,2,Real Estate,50,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
>= 200 DM,18,All Credits Paid (this bank),Radio/TV,1445,Unknown/ No Saving Ac,4 to 7,4,Male (Single),none,4,car or other,49,Bank,Own,1,Unskilled Resident,1,None,Yes,Good
No Checking Account,15,Critical Account/Other Credit Existing(Not this bank),Furniture/Equipment,1520,Unknown/ No Saving Ac,>=7,4,Male (Single),none,4,Society Saving/ Life Insurance,63,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
0 - 20 DM,24,Critical Account/Other Credit Existing(Not this bank),New Car,3878,100 - 500,<1,4,Male (Div/Sep/Married),none,2,car or other,37,none,Own,1,SkilledEmployee/Official,1,Yes,Yes,Good
< 0 DM,47,Existing Credits Paid Back,New Car,10722,<100,<1,1,Female (Div/Sep/Married),none,1,Real Estate,35,none,Own,1,Unskilled Resident,1,Yes,Yes,Good
< 0 DM,48,Existing Credits Paid Back,Used Car,4788,<100,4 to 7,4,Male (Single),none,3,Society Saving/ Life Insurance,26,none,Own,1,SkilledEmployee/Official,2,None,Yes,Good
0 - 20 DM,48,Delay in Payment in past,others,7582,100 - 500,unemployed,2,Male (Single),none,4,Unknown/ No property,31,none,For Free,1,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,Yes,Good
0 - 20 DM,12,Existing Credits Paid Back,Radio/TV,1092,<100,1 to 4,4,Female (Div/Sep/Married),guarantor,4,Real Estate,49,none,Own,2,SkilledEmployee/Official,1,Yes,Yes,Good
< 0 DM,24,Delay in Payment in past,Radio/TV,1024,<100,<1,4,Male (Married/Widowed),none,4,Real Estate,48,Stores,Own,1,SkilledEmployee/Official,1,None,Yes,Bad
No Checking Account,12,Existing Credits Paid Back,Business,1076,<100,1 to 4,2,Male (Married/Widowed),none,2,Real Estate,26,none,Own,1,SkilledEmployee/Official,1,Yes,No,Good
0 - 20 DM,36,Existing Credits Paid Back,Used Car,9398,<100,<1,1,Male (Married/Widowed),none,4,car or other,28,none,Rent,1,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,Yes,Bad
< 0 DM,24,Critical Account/Other Credit Existing(Not this bank),Used Car,6419,<100,>=7,2,Female (Div/Sep/Married),none,4,Unknown/ No property,44,none,For Free,2,Mgmt/Self-Emp/Qual-Emp/Officer,2,Yes,Yes,Good
>= 200 DM,42,Critical Account/Other Credit Existing(Not this bank),Used Car,4796,<100,>=7,4,Male (Single),none,4,Unknown/ No property,56,none,For Free,1,SkilledEmployee/Official,1,None,Yes,Good
No Checking Account,48,Critical Account/Other Credit Existing(Not this bank),Business,7629,Unknown/ No Saving Ac,>=7,4,Male (Div/Sep/Married),none,2,car or other,46,Bank,Own,2,Mgmt/Self-Emp/Qual-Emp/Officer,2,None,Yes,Good
0 - 20 DM,48,Existing Credits Paid Back,Furniture/Equipment,9960,<100,<1,1,Female (Div/Sep/Married),none,2,car or other,26,none,Own,1,SkilledEmployee/Official,1,Yes,Yes,Bad
No Checking Account,12,Existing Credits Paid Back,Used Car,4675,Unknown/ No Saving Ac,<1,1,Female (Div/Sep/Married),none,4,car or other,20,none,Rent,1,SkilledEmployee/Official,1,None,Yes,Good
No Checking Account,10,Existing Credits Paid Back,New Car,1287,Unknown/ No Saving Ac,>=7,4,Male (Single),co-applicant,2,Society Saving/ Life Insurance,45,none,Own,1,Unskilled Resident,1,None,No,Good
No Checking Account,18,Existing Credits Paid Back,Furniture/Equipment,2515,<100,1 to 4,3,Male (Single),none,4,Real Estate,43,none,Own,1,SkilledEmployee/Official,1,Yes,Yes,Good
0 - 20 DM,21,Critical Account/Other Credit Existing(Not this bank),Furniture/Equipment,2745,>=1000,4 to 7,3,Male (Single),none,2,car or other,32,none,Own,2,SkilledEmployee/Official,1,Yes,Yes,Good
No Checking Account,6,Existing Credits Paid Back,New Car,672,<100,unemployed,1,Female (Div/Sep/Married),none,4,Real Estate,54,none,Own,1,UnEmp - NR,1,Yes,Yes,Good
0 - 20 DM,36,No Credits taken/ All Credits Paid,Radio/TV,3804,<100,1 to 4,4,Female (Div/Sep/Married),none,1,car or other,42,none,Own,1,SkilledEmployee/Official,1,Yes,Yes,Bad
>= 200 DM,24,Critical Account/Other Credit Existing(Not this bank),New Car,1344,Unknown/ No Saving Ac,4 to 7,4,Male (Single),none,2,Real Estate,37,Bank,Own,2,Unskilled Resident,2,None,Yes,Bad
< 0 DM,10,Critical Account/Other Credit Existing(Not this bank),New Car,1038,<100,4 to 7,4,Male (Single),co-applicant,3,Society Saving/ Life Insurance,49,none,Own,2,SkilledEmployee/Official,1,Yes,Yes,Good
No Checking Account,48,Critical Account/Other Credit Existing(Not this bank),New Car,10127,500 - 1000,1 to 4,2,Male (Single),none,2,Unknown/ No property,44,Bank,For Free,1,SkilledEmployee/Official,1,None,Yes,Bad
No Checking Account,6,Existing Credits Paid Back,Furniture/Equipment,1543,>=1000,1 to 4,4,Male (Div/Sep/Married),none,2,Real Estate,33,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
No Checking Account,30,Existing Credits Paid Back,Used Car,4811,Unknown/ No Saving Ac,4 to 7,2,Female (Div/Sep/Married),none,4,Society Saving/ Life Insurance,24,Stores,Rent,1,Unskilled Resident,1,None,Yes,Good
< 0 DM,12,Existing Credits Paid Back,Radio/TV,727,100 - 500,<1,4,Male (Married/Widowed),none,3,Unknown/ No property,33,none,Own,1,Unskilled Resident,1,Yes,Yes,Bad
0 - 20 DM,8,Existing Credits Paid Back,Furniture/Equipment,1237,<100,1 to 4,3,Female (Div/Sep/Married),none,4,Real Estate,24,none,Own,1,SkilledEmployee/Official,1,None,Yes,Bad
0 - 20 DM,9,Existing Credits Paid Back,New Car,276,<100,1 to 4,4,Male (Married/Widowed),none,4,Real Estate,22,none,Rent,1,Unskilled Resident,1,None,Yes,Good
0 - 20 DM,48,Existing Credits Paid Back,others,5381,Unknown/ No Saving Ac,unemployed,3,Male (Single),none,4,Unknown/ No property,40,Bank,For Free,1,UnEmp - NR,1,Yes,Yes,Good
No Checking Account,24,Existing Credits Paid Back,Furniture/Equipment,5511,100 - 500,1 to 4,4,Male (Single),none,1,car or other,25,Stores,Own,1,SkilledEmployee/Official,1,None,Yes,Good
>= 200 DM,24,Existing Credits Paid Back,Furniture/Equipment,3749,<100,<1,2,Female (Div/Sep/Married),none,4,car or other,26,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
0 - 20 DM,12,Existing Credits Paid Back,New Car,685,<100,4 to 7,2,Male (Married/Widowed),none,3,car or other,25,Bank,Own,1,Unskilled Resident,1,None,Yes,Bad
>= 200 DM,4,Existing Credits Paid Back,New Car,1494,Unknown/ No Saving Ac,<1,1,Male (Single),none,2,Real Estate,29,none,Own,1,Unskilled Resident,2,None,No,Good
< 0 DM,36,All Credits Paid (this bank),Furniture/Equipment,2746,<100,>=7,4,Male (Single),none,4,car or other,31,Bank,Own,1,SkilledEmployee/Official,1,None,Yes,Bad
< 0 DM,12,Existing Credits Paid Back,Furniture/Equipment,708,<100,1 to 4,2,Male (Single),guarantor,3,Society Saving/ Life Insurance,38,none,Own,1,Unskilled Resident,2,None,Yes,Good
0 - 20 DM,24,Existing Credits Paid Back,Furniture/Equipment,4351,Unknown/ No Saving Ac,1 to 4,1,Female (Div/Sep/Married),none,4,Society Saving/ Life Insurance,48,none,Own,1,Unskilled Resident,1,Yes,Yes,Good
No Checking Account,12,Critical Account/Other Credit Existing(Not this bank),Education,701,<100,1 to 4,4,Male (Single),none,2,car or other,32,none,Own,2,SkilledEmployee/Official,1,None,Yes,Good
< 0 DM,15,Delay in Payment in past,Furniture/Equipment,3643,<100,>=7,1,Female (Div/Sep/Married),none,4,Society Saving/ Life Insurance,27,none,Own,2,Unskilled Resident,1,None,Yes,Good
0 - 20 DM,30,Critical Account/Other Credit Existing(Not this bank),New Car,4249,<100,unemployed,4,Male (Married/Widowed),none,2,car or other,28,none,Own,2,Mgmt/Self-Emp/Qual-Emp/Officer,1,None,Yes,Bad
< 0 DM,24,Existing Credits Paid Back,Radio/TV,1938,<100,<1,4,Male (Div/Sep/Married),none,3,Society Saving/ Life Insurance,32,none,Own,1,SkilledEmployee/Official,1,None,Yes,Bad
< 0 DM,24,Existing Credits Paid Back,Used Car,2910,<100,4 to 7,2,Male (Single),none,1,Unknown/ No property,34,none,For Free,1,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,Yes,Good
< 0 DM,18,Existing Credits Paid Back,Furniture/Equipment,2659,>=1000,1 to 4,4,Male (Single),none,2,car or other,28,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
No Checking Account,18,Critical Account/Other Credit Existing(Not this bank),New Car,1028,<100,1 to 4,4,Female (Div/Sep/Married),none,3,Real Estate,36,none,Own,2,SkilledEmployee/Official,1,None,Yes,Good
< 0 DM,8,Critical Account/Other Credit Existing(Not this bank),New Car,3398,<100,4 to 7,1,Male (Single),none,4,Real Estate,39,none,Own,2,Unskilled Resident,1,None,No,Good
No Checking Account,12,Critical Account/Other Credit Existing(Not this bank),Furniture/Equipment,5801,Unknown/ No Saving Ac,>=7,2,Male (Single),none,4,Society Saving/ Life Insurance,49,none,Rent,1,SkilledEmployee/Official,1,Yes,Yes,Good
No Checking Account,24,Existing Credits Paid Back,New Car,1525,>=1000,4 to 7,4,Female (Div/Sep/Married),none,3,car or other,34,none,Own,1,SkilledEmployee/Official,2,Yes,Yes,Good
>= 200 DM,36,Existing Credits Paid Back,Radio/TV,4473,<100,>=7,4,Male (Single),none,2,car or other,31,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
0 - 20 DM,6,Existing Credits Paid Back,Radio/TV,1068,<100,>=7,4,Male (Single),none,4,car or other,28,none,Own,1,SkilledEmployee/Official,2,None,Yes,Good
< 0 DM,24,Critical Account/Other Credit Existing(Not this bank),Used Car,6615,<100,unemployed,2,Male (Single),none,4,Unknown/ No property,75,none,For Free,2,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,Yes,Good
No Checking Account,18,Critical Account/Other Credit Existing(Not this bank),Education,1864,100 - 500,1 to 4,4,Female (Div/Sep/Married),none,2,Real Estate,30,none,Own,2,SkilledEmployee/Official,1,None,Yes,Bad
0 - 20 DM,60,Existing Credits Paid Back,New Car,7408,100 - 500,<1,4,Female (Div/Sep/Married),none,2,Society Saving/ Life Insurance,24,none,Own,1,Mgmt/Self-Emp/Qual-Emp/Officer,1,None,Yes,Bad
No Checking Account,48,Critical Account/Other Credit Existing(Not this bank),Used Car,11590,100 - 500,1 to 4,2,Female (Div/Sep/Married),none,4,car or other,24,Bank,Rent,2,Unskilled Resident,1,None,Yes,Bad
< 0 DM,24,No Credits taken/ All Credits Paid,Furniture/Equipment,4110,<100,>=7,3,Male (Single),none,4,Unknown/ No property,23,Bank,Rent,2,SkilledEmployee/Official,2,None,Yes,Bad
< 0 DM,6,Critical Account/Other Credit Existing(Not this bank),Furniture/Equipment,3384,<100,1 to 4,1,Male (Div/Sep/Married),none,4,Real Estate,44,none,Rent,1,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,Yes,Bad
0 - 20 DM,13,Existing Credits Paid Back,Radio/TV,2101,<100,<1,2,Female (Div/Sep/Married),guarantor,4,Society Saving/ Life Insurance,23,none,Own,1,Unskilled Resident,1,None,Yes,Good
< 0 DM,15,Existing Credits Paid Back,Domestic Appliances,1275,Unknown/ No Saving Ac,1 to 4,4,Female (Div/Sep/Married),none,2,car or other,24,none,Rent,1,SkilledEmployee/Official,1,None,Yes,Bad
< 0 DM,24,Existing Credits Paid Back,Furniture/Equipment,4169,<100,1 to 4,4,Male (Single),none,4,Society Saving/ Life Insurance,28,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
0 - 20 DM,10,Existing Credits Paid Back,Furniture/Equipment,1521,<100,1 to 4,4,Male (Div/Sep/Married),none,2,car or other,31,none,Own,1,Unskilled Resident,1,None,Yes,Good
0 - 20 DM,24,Critical Account/Other Credit Existing(Not this bank),Education,5743,<100,<1,2,Female (Div/Sep/Married),none,4,Unknown/ No property,24,none,For Free,2,SkilledEmployee/Official,1,Yes,Yes,Good
< 0 DM,21,Existing Credits Paid Back,Furniture/Equipment,3599,<100,4 to 7,1,Female (Div/Sep/Married),none,4,car or other,26,none,Rent,1,Unskilled Resident,1,None,Yes,Good
0 - 20 DM,18,Existing Credits Paid Back,Radio/TV,3213,500 - 1000,<1,1,Male (Married/Widowed),none,3,Real Estate,25,none,Rent,1,SkilledEmployee/Official,1,None,Yes,Good
0 - 20 DM,18,Existing Credits Paid Back,Business,4439,<100,>=7,1,Male (Single),co-applicant,1,Real Estate,33,Bank,Own,1,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,Yes,Good
>= 200 DM,10,Existing Credits Paid Back,New Car,3949,<100,<1,1,Male (Single),guarantor,1,Society Saving/ Life Insurance,37,none,Own,1,Unskilled Resident,2,None,Yes,Good
No Checking Account,15,Critical Account/Other Credit Existing(Not this bank),Radio/TV,1459,<100,1 to 4,4,Female (Div/Sep/Married),none,2,car or other,43,none,Own,1,Unskilled Resident,1,None,Yes,Good
0 - 20 DM,13,Critical Account/Other Credit Existing(Not this bank),Radio/TV,882,<100,<1,4,Male (Single),guarantor,4,Real Estate,23,none,Own,2,SkilledEmployee/Official,1,None,Yes,Good
0 - 20 DM,24,Existing Credits Paid Back,Radio/TV,3758,500 - 1000,unemployed,1,Female (Div/Sep/Married),none,4,Unknown/ No property,23,none,Rent,1,UnEmp - NR,1,None,Yes,Good
No Checking Account,6,Delay in Payment in past,Business,1743,100 - 500,1 to 4,1,Male (Single),none,2,Real Estate,34,none,Own,2,Unskilled Resident,1,None,Yes,Good
0 - 20 DM,9,Critical Account/Other Credit Existing(Not this bank),Education,1136,>=1000,>=7,4,Male (Single),none,3,Unknown/ No property,32,none,For Free,2,SkilledEmployee/Official,2,None,Yes,Bad
No Checking Account,9,Existing Credits Paid Back,Domestic Appliances,1236,<100,<1,1,Female (Div/Sep/Married),none,4,Real Estate,23,none,Rent,1,SkilledEmployee/Official,1,Yes,Yes,Good
0 - 20 DM,9,Existing Credits Paid Back,Furniture/Equipment,959,<100,1 to 4,1,Female (Div/Sep/Married),none,2,car or other,29,none,Own,1,SkilledEmployee/Official,1,None,No,Bad
No Checking Account,18,Critical Account/Other Credit Existing(Not this bank),Used Car,3229,Unknown/ No Saving Ac,unemployed,2,Male (Single),none,4,Unknown/ No property,38,none,Own,1,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,Yes,Good
< 0 DM,12,No Credits taken/ All Credits Paid,Radio/TV,6199,<100,1 to 4,4,Male (Single),none,2,Society Saving/ Life Insurance,28,none,Rent,2,SkilledEmployee/Official,1,Yes,Yes,Bad
No Checking Account,10,Existing Credits Paid Back,Education,727,500 - 1000,>=7,4,Male (Single),none,4,Unknown/ No property,46,none,For Free,1,SkilledEmployee/Official,1,Yes,Yes,Good
0 - 20 DM,24,Existing Credits Paid Back,New Car,1246,<100,<1,4,Male (Single),none,2,Real Estate,23,Stores,Own,1,Unskilled Resident,1,None,Yes,Bad
No Checking Account,12,Critical Account/Other Credit Existing(Not this bank),Radio/TV,2331,Unknown/ No Saving Ac,>=7,1,Male (Single),co-applicant,4,Real Estate,49,none,Own,1,SkilledEmployee/Official,1,Yes,Yes,Good
No Checking Account,36,Delay in Payment in past,Radio/TV,4463,<100,1 to 4,4,Male (Single),none,2,car or other,26,none,Own,2,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,Yes,Bad
No Checking Account,12,Existing Credits Paid Back,Radio/TV,776,<100,1 to 4,4,Male (Married/Widowed),none,2,Real Estate,28,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
< 0 DM,30,Existing Credits Paid Back,Furniture/Equipment,2406,<100,4 to 7,4,Female (Div/Sep/Married),none,4,Real Estate,23,none,Rent,1,SkilledEmployee/Official,1,None,Yes,Bad
0 - 20 DM,18,Existing Credits Paid Back,Education,1239,Unknown/ No Saving Ac,1 to 4,4,Male (Single),none,4,Unknown/ No property,61,none,For Free,1,SkilledEmployee/Official,1,None,Yes,Good
>= 200 DM,12,Existing Credits Paid Back,Radio/TV,3399,Unknown/ No Saving Ac,>=7,2,Male (Single),none,3,car or other,37,none,Own,1,Mgmt/Self-Emp/Qual-Emp/Officer,1,None,Yes,Good
>= 200 DM,12,Delay in Payment in past,New Car,2247,<100,1 to 4,2,Female (Div/Sep/Married),none,2,car or other,36,Stores,Own,2,SkilledEmployee/Official,1,Yes,Yes,Good
No Checking Account,6,Existing Credits Paid Back,Furniture/Equipment,1766,<100,1 to 4,1,Male (Married/Widowed),none,2,Society Saving/ Life Insurance,21,none,Rent,1,SkilledEmployee/Official,1,None,Yes,Good
< 0 DM,18,Existing Credits Paid Back,Furniture/Equipment,2473,<100,unemployed,4,Male (Single),none,1,car or other,25,none,Own,1,UnEmp - NR,1,None,Yes,Bad
No Checking Account,12,Existing Credits Paid Back,Business,1542,<100,4 to 7,2,Male (Single),none,4,car or other,36,none,Own,1,SkilledEmployee/Official,1,Yes,Yes,Good
No Checking Account,18,Critical Account/Other Credit Existing(Not this bank),Used Car,3850,<100,4 to 7,3,Male (Single),none,1,car or other,27,none,Own,2,SkilledEmployee/Official,1,None,Yes,Good
< 0 DM,18,Existing Credits Paid Back,Furniture/Equipment,3650,<100,<1,1,Female (Div/Sep/Married),none,4,car or other,22,none,Rent,1,SkilledEmployee/Official,1,None,Yes,Good
< 0 DM,36,Existing Credits Paid Back,Furniture/Equipment,3446,<100,>=7,4,Male (Single),none,2,car or other,42,none,Own,1,SkilledEmployee/Official,2,None,Yes,Bad
0 - 20 DM,18,Existing Credits Paid Back,Furniture/Equipment,3001,<100,4 to 7,2,Female (Div/Sep/Married),none,4,Real Estate,40,none,Rent,1,SkilledEmployee/Official,1,None,Yes,Good
No Checking Account,36,Existing Credits Paid Back,New Car,3079,Unknown/ No Saving Ac,1 to 4,4,Male (Single),none,4,Real Estate,36,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
No Checking Account,18,Critical Account/Other Credit Existing(Not this bank),Radio/TV,6070,<100,>=7,3,Male (Single),none,4,car or other,33,none,Own,2,SkilledEmployee/Official,1,Yes,Yes,Good
No Checking Account,10,Critical Account/Other Credit Existing(Not this bank),Furniture/Equipment,2146,<100,<1,1,Female (Div/Sep/Married),none,3,Real Estate,23,none,Rent,2,SkilledEmployee/Official,1,None,Yes,Good
No Checking Account,60,Critical Account/Other Credit Existing(Not this bank),New Car,13756,Unknown/ No Saving Ac,>=7,2,Male (Single),none,4,Unknown/ No property,63,Bank,For Free,1,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,Yes,Good
0 - 20 DM,60,All Credits Paid (this bank),others,14782,100 - 500,>=7,3,Female (Div/Sep/Married),none,4,Unknown/ No property,60,Bank,For Free,2,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,Yes,Bad
< 0 DM,48,All Credits Paid (this bank),Business,7685,<100,4 to 7,2,Female (Div/Sep/Married),guarantor,4,car or other,37,none,Rent,1,SkilledEmployee/Official,1,None,Yes,Bad
No Checking Account,18,Delay in Payment in past,Radio/TV,2320,<100,unemployed,2,Male (Married/Widowed),none,3,Real Estate,34,none,Own,2,SkilledEmployee/Official,1,None,Yes,Good
No Checking Account,7,Delay in Payment in past,Radio/TV,846,Unknown/ No Saving Ac,>=7,3,Male (Single),none,4,Unknown/ No property,36,none,For Free,1,SkilledEmployee/Official,1,None,Yes,Good
0 - 20 DM,36,Existing Credits Paid Back,New Car,14318,<100,>=7,4,Male (Single),none,2,Unknown/ No property,57,none,For Free,1,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,Yes,Bad
No Checking Account,6,Critical Account/Other Credit Existing(Not this bank),New Car,362,100 - 500,1 to 4,4,Female (Div/Sep/Married),none,4,car or other,52,none,Own,2,Unskilled Resident,1,None,Yes,Good
< 0 DM,20,Existing Credits Paid Back,Furniture/Equipment,2212,Unknown/ No Saving Ac,4 to 7,4,Male (Single),none,4,car or other,39,none,Own,1,SkilledEmployee/Official,1,Yes,Yes,Good
0 - 20 DM,18,Existing Credits Paid Back,Used Car,12976,<100,unemployed,3,Female (Div/Sep/Married),none,4,Unknown/ No property,38,none,For Free,1,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,Yes,Bad
No Checking Account,22,Existing Credits Paid Back,New Car,1283,Unknown/ No Saving Ac,4 to 7,4,Female (Div/Sep/Married),none,4,Society Saving/ Life Insurance,25,none,Rent,1,SkilledEmployee/Official,1,None,Yes,Good
>= 200 DM,12,Existing Credits Paid Back,New Car,1330,<100,<1,4,Male (Single),none,1,Real Estate,26,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
No Checking Account,30,Delay in Payment in past,Business,4272,100 - 500,1 to 4,2,Male (Single),none,2,Society Saving/ Life Insurance,26,none,Own,2,Unskilled Resident,1,None,Yes,Good
